IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.108.3,4,4,0.00,1.76,0.00
172.67.145.151,4,4,0.00,1.76,0.00
172.65.225.108,4,4,0.00,1.79,0.00
172.67.240.138,4,4,0.00,1.80,0.00
172.65.34.229,4,4,0.00,1.82,0.00
172.65.109.169,4,4,0.00,1.87,0.00
172.65.27.90,4,4,0.00,1.88,0.00
172.65.202.91,4,4,0.00,1.88,0.00
172.67.253.173,4,4,0.00,1.88,0.00
198.41.217.161,4,4,0.00,1.89,0.00
172.67.220.94,4,4,0.00,1.90,0.00
162.159.144.242,4,4,0.00,1.91,0.00
162.159.138.155,4,4,0.00,1.92,0.00
198.41.205.19,4,4,0.00,1.92,0.00
104.24.95.254,4,4,0.00,1.93,0.00
172.65.218.174,4,4,0.00,1.94,0.00
172.67.125.56,4,4,0.00,1.96,0.00
104.21.123.194,4,4,0.00,1.96,0.00
104.21.121.245,4,4,0.00,1.97,0.00
172.65.140.213,4,4,0.00,1.98,0.00
104.21.213.133,4,4,0.00,1.98,0.00
172.65.153.55,4,4,0.00,1.98,0.00
172.65.89.252,4,4,0.00,1.98,0.00
198.41.206.254,4,4,0.00,1.99,0.00
172.65.137.7,4,4,0.00,1.99,0.00
172.65.173.181,4,4,0.00,2.00,0.00
172.65.84.126,4,4,0.00,2.00,0.00
172.67.242.169,4,4,0.00,2.00,0.00
172.66.46.72,4,4,0.00,2.00,0.00
104.24.15.23,4,4,0.00,2.01,0.00
172.65.208.2,4,4,0.00,2.01,0.00
104.24.76.203,4,4,0.00,2.02,0.00
172.65.212.7,4,4,0.00,2.02,0.00
172.65.159.104,4,4,0.00,2.02,0.00
172.65.215.100,4,4,0.00,2.03,0.00
172.65.175.132,4,4,0.00,2.03,0.00
172.65.155.40,4,4,0.00,2.03,0.00
172.65.207.19,4,4,0.00,2.03,0.00
104.24.74.131,4,4,0.00,2.04,0.00
172.66.156.69,4,4,0.00,2.04,0.00
104.24.64.153,4,4,0.00,2.04,0.00
104.24.23.171,4,4,0.00,2.05,0.00
104.21.63.143,4,4,0.00,2.05,0.00
104.24.68.28,4,4,0.00,2.05,0.00
172.65.224.194,4,4,0.00,2.05,0.00
104.24.14.81,4,4,0.00,2.05,0.00
162.159.27.118,4,4,0.00,2.06,0.00
104.24.49.51,4,4,0.00,2.06,0.00
104.21.8.143,4,4,0.00,2.06,0.00
172.65.20.141,4,4,0.00,2.06,0.00
172.67.105.189,4,4,0.00,2.07,0.00
172.67.80.10,4,4,0.00,2.07,0.00
162.159.33.186,4,4,0.00,2.07,0.00
172.65.17.12,4,4,0.00,2.07,0.00
172.65.132.112,4,4,0.00,2.08,0.00
172.67.122.219,4,4,0.00,2.08,0.00
104.21.80.51,4,4,0.00,2.08,0.00
172.64.33.149,4,4,0.00,2.08,0.00
198.41.201.246,4,4,0.00,2.09,0.00
162.159.140.97,4,4,0.00,2.09,0.00
104.21.124.216,4,4,0.00,2.09,0.00
172.65.238.195,4,4,0.00,2.09,0.00
172.65.124.155,4,4,0.00,2.09,0.00
172.65.128.142,4,4,0.00,2.09,0.00
198.41.202.216,4,4,0.00,2.10,0.00
172.65.188.55,4,4,0.00,2.10,0.00
104.21.78.46,4,4,0.00,2.10,0.00
172.66.2.247,4,4,0.00,2.10,0.00
172.65.48.111,4,4,0.00,2.10,0.00
172.67.131.132,4,4,0.00,2.10,0.00
104.24.78.110,4,4,0.00,2.10,0.00
162.159.148.97,4,4,0.00,2.11,0.00
172.67.113.88,4,4,0.00,2.11,0.00
172.67.70.58,4,4,0.00,2.11,0.00
162.159.9.29,4,4,0.00,2.11,0.00
172.66.170.10,4,4,0.00,2.11,0.00
172.67.126.25,4,4,0.00,2.11,0.00
104.24.77.130,4,4,0.00,2.12,0.00
172.67.115.137,4,4,0.00,2.12,0.00
104.24.11.58,4,4,0.00,2.12,0.00
162.159.49.243,4,4,0.00,2.12,0.00
172.67.249.66,4,4,0.00,2.12,0.00
172.65.171.77,4,4,0.00,2.12,0.00
172.64.89.79,4,4,0.00,2.12,0.00
172.64.35.251,4,4,0.00,2.13,0.00
172.67.166.145,4,4,0.00,2.13,0.00
172.65.148.175,4,4,0.00,2.13,0.00
172.65.55.68,4,4,0.00,2.13,0.00
172.65.30.36,4,4,0.00,2.13,0.00
104.24.19.226,4,4,0.00,2.14,0.00
162.159.19.146,4,4,0.00,2.14,0.00
104.21.126.86,4,4,0.00,2.14,0.00
172.67.225.209,4,4,0.00,2.14,0.00
172.67.196.161,4,4,0.00,2.14,0.00
172.65.120.58,4,4,0.00,2.14,0.00
172.67.208.87,4,4,0.00,2.14,0.00
104.24.47.150,4,4,0.00,2.15,0.00
172.65.46.82,4,4,0.00,2.15,0.00
172.65.253.142,4,4,0.00,2.15,0.00
172.65.172.76,4,4,0.00,2.15,0.00
172.65.169.50,4,4,0.00,2.15,0.00
172.65.167.99,4,4,0.00,2.15,0.00
104.21.192.86,4,4,0.00,2.15,0.00
172.65.237.152,4,4,0.00,2.15,0.00
104.24.5.220,4,4,0.00,2.15,0.00
172.67.104.32,4,4,0.00,2.15,0.00
172.65.39.119,4,4,0.00,2.15,0.00
104.21.97.229,4,4,0.00,2.15,0.00
172.67.226.213,4,4,0.00,2.15,0.00
172.65.179.210,4,4,0.00,2.16,0.00
104.21.86.218,4,4,0.00,2.16,0.00
198.41.204.202,4,4,0.00,2.16,0.00
104.21.209.23,4,4,0.00,2.16,0.00
198.41.200.33,4,4,0.00,2.16,0.00
172.65.166.196,4,4,0.00,2.16,0.00
172.65.117.69,4,4,0.00,2.16,0.00
104.21.90.242,4,4,0.00,2.16,0.00
172.67.229.72,4,4,0.00,2.17,0.00
172.65.130.33,4,4,0.00,2.17,0.00
172.65.94.132,4,4,0.00,2.17,0.00
172.65.52.163,4,4,0.00,2.17,0.00
172.67.119.215,4,4,0.00,2.17,0.00
162.159.157.171,4,4,0.00,2.17,0.00
172.65.235.109,4,4,0.00,2.17,0.00
104.24.1.147,4,4,0.00,2.17,0.00
172.67.251.207,4,4,0.00,2.18,0.00
172.64.233.0,4,4,0.00,2.18,0.00
104.24.67.149,4,4,0.00,2.18,0.00
172.65.146.198,4,4,0.00,2.18,0.00
172.64.67.16,4,4,0.00,2.18,0.00
172.65.152.228,4,4,0.00,2.18,0.00
188.114.98.225,4,4,0.00,2.18,0.00
172.67.245.31,4,4,0.00,2.18,0.00
172.65.32.164,4,4,0.00,2.18,0.00
172.65.60.6,4,4,0.00,2.18,0.00
104.21.81.190,4,4,0.00,2.19,0.00
172.65.25.169,4,4,0.00,2.19,0.00
104.21.4.201,4,4,0.00,2.19,0.00
172.67.75.75,4,4,0.00,2.19,0.00
172.65.170.53,4,4,0.00,2.19,0.00
172.67.154.169,4,4,0.00,2.19,0.00
172.67.246.204,4,4,0.00,2.19,0.00
172.65.189.28,4,4,0.00,2.20,0.00
104.24.73.93,4,4,0.00,2.20,0.00
172.67.192.211,4,4,0.00,2.20,0.00
172.67.116.96,4,4,0.00,2.20,0.00
141.101.114.79,4,4,0.00,2.20,0.00
104.27.17.89,4,4,0.00,2.20,0.00
162.159.8.150,4,4,0.00,2.20,0.00
172.65.19.224,4,4,0.00,2.20,0.00
172.65.210.100,4,4,0.00,2.20,0.00
172.65.248.107,4,4,0.00,2.20,0.00
172.65.197.139,4,4,0.00,2.21,0.00
172.65.251.220,4,4,0.00,2.21,0.00
104.21.12.49,4,4,0.00,2.21,0.00
172.67.77.62,4,4,0.00,2.21,0.00
172.65.191.253,4,4,0.00,2.21,0.00
104.21.199.175,4,4,0.00,2.21,0.00
104.21.64.33,4,4,0.00,2.21,0.00
172.64.83.62,4,4,0.00,2.21,0.00
172.67.121.129,4,4,0.00,2.21,0.00
172.65.231.124,4,4,0.00,2.21,0.00
172.65.136.227,4,4,0.00,2.22,0.00
104.27.195.15,4,4,0.00,2.22,0.00
172.65.28.24,4,4,0.00,2.22,0.00
104.21.22.97,4,4,0.00,2.22,0.00
172.67.88.105,4,4,0.00,2.22,0.00
162.159.139.84,4,4,0.00,2.22,0.00
172.66.3.194,4,4,0.00,2.22,0.00
172.65.22.39,4,4,0.00,2.22,0.00
162.159.16.108,4,4,0.00,2.22,0.00
104.21.24.1,4,4,0.00,2.22,0.00
104.24.61.161,4,4,0.00,2.22,0.00
172.65.213.30,4,4,0.00,2.22,0.00
162.159.58.187,4,4,0.00,2.23,0.00
172.65.226.197,4,4,0.00,2.23,0.00
104.21.84.72,4,4,0.00,2.23,0.00
104.24.18.178,4,4,0.00,2.23,0.00
104.21.120.171,4,4,0.00,2.23,0.00
104.21.111.192,4,4,0.00,2.23,0.00
172.67.97.187,4,4,0.00,2.23,0.00
172.65.230.231,4,4,0.00,2.23,0.00
162.159.41.209,4,4,0.00,2.23,0.00
104.24.36.155,4,4,0.00,2.24,0.00
104.21.38.197,4,4,0.00,2.24,0.00
104.24.42.114,4,4,0.00,2.24,0.00
172.64.101.21,4,4,0.00,2.24,0.00
172.67.120.159,4,4,0.00,2.24,0.00
104.27.200.129,4,4,0.00,2.24,0.00
172.67.150.231,4,4,0.00,2.24,0.00
104.24.31.97,4,4,0.00,2.24,0.00
172.67.250.120,4,4,0.00,2.25,0.00
172.65.182.97,4,4,0.00,2.25,0.00
172.65.21.249,4,4,0.00,2.25,0.00
172.65.181.69,4,4,0.00,2.25,0.00
188.114.96.232,4,4,0.00,2.25,0.00
172.67.89.77,4,4,0.00,2.25,0.00
172.66.153.121,4,4,0.00,2.25,0.00
104.21.6.194,4,4,0.00,2.25,0.00
104.24.22.12,4,4,0.00,2.25,0.00
172.65.18.217,4,4,0.00,2.25,0.00
104.24.92.183,4,4,0.00,2.25,0.00
172.65.196.136,4,4,0.00,2.25,0.00
104.21.0.79,4,4,0.00,2.25,0.00
198.41.203.204,4,4,0.00,2.26,0.00
172.65.76.107,4,4,0.00,2.26,0.00
104.21.70.85,4,4,0.00,2.26,0.00
104.21.238.214,4,4,0.00,2.26,0.00
